Vardas            Pavarde           Galutinis (vidurkis)     
--------------------------------------------------------
Vardas5           Pavarde5          2.43                     
Vardas6           Pavarde6          2.26                     
Vardas11          Pavarde11         3.03                     
Vardas12          Pavarde12         4.83                     
Vardas13          Pavarde13         3.91                     
Vardas14          Pavarde14         4.57                     
Vardas17          Pavarde17         3.86                     
Vardas19          Pavarde19         3.71                     
Vardas21          Pavarde21         3.37                     
Vardas22          Pavarde22         2.91                     
Vardas23          Pavarde23         2.60                     
Vardas24          Pavarde24         3.51                     
Vardas25          Pavarde25         4.11                     
Vardas30          Pavarde30         3.63                     
Vardas31          Pavarde31         3.17                     
Vardas32          Pavarde32         4.09                     
Vardas33          Pavarde33         4.91                     
Vardas34          Pavarde34         2.94                     
Vardas35          Pavarde35         4.66                     
Vardas37          Pavarde37         2.54                     
Vardas40          Pavarde40         4.14                     
Vardas48          Pavarde48         3.17                     
Vardas49          Pavarde49         3.49                     
Vardas50          Pavarde50         3.97                     
Vardas52          Pavarde52         3.91                     
Vardas54          Pavarde54         3.00                     
Vardas58          Pavarde58         2.77                     
Vardas62          Pavarde62         3.20                     
Vardas64          Pavarde64         2.37                     
Vardas70          Pavarde70         3.09                     
Vardas74          Pavarde74         4.54                     
Vardas75          Pavarde75         3.86                     
Vardas76          Pavarde76         3.63                     
Vardas78          Pavarde78         4.29                     
Vardas88          Pavarde88         4.86                     
Vardas89          Pavarde89         4.29                     
Vardas90          Pavarde90         4.20                     
Vardas93          Pavarde93         3.06                     
Vardas94          Pavarde94         4.34                     
Vardas95          Pavarde95         4.49                     
Vardas101         Pavarde101        4.60                     
Vardas102         Pavarde102        4.97                     
Vardas110         Pavarde110        3.69                     
Vardas112         Pavarde112        3.71                     
Vardas114         Pavarde114        4.46                     
Vardas123         Pavarde123        2.89                     
Vardas126         Pavarde126        2.89                     
Vardas129         Pavarde129        2.43                     
Vardas131         Pavarde131        2.31                     
Vardas135         Pavarde135        4.51                     
Vardas138         Pavarde138        2.43                     
Vardas141         Pavarde141        4.23                     
Vardas142         Pavarde142        2.60                     
Vardas150         Pavarde150        3.94                     
Vardas151         Pavarde151        2.60                     
Vardas152         Pavarde152        4.00                     
Vardas154         Pavarde154        2.57                     
Vardas158         Pavarde158        4.20                     
Vardas159         Pavarde159        3.31                     
Vardas163         Pavarde163        3.23                     
Vardas164         Pavarde164        3.66                     
Vardas165         Pavarde165        3.89                     
Vardas169         Pavarde169        3.69                     
Vardas172         Pavarde172        3.69                     
Vardas174         Pavarde174        3.91                     
Vardas175         Pavarde175        4.54                     
Vardas179         Pavarde179        4.57                     
Vardas182         Pavarde182        4.71                     
Vardas183         Pavarde183        3.71                     
Vardas185         Pavarde185        4.77                     
Vardas187         Pavarde187        3.77                     
Vardas189         Pavarde189        3.54                     
Vardas191         Pavarde191        4.20                     
Vardas196         Pavarde196        4.43                     
Vardas197         Pavarde197        3.51                     
Vardas199         Pavarde199        4.31                     
Vardas200         Pavarde200        3.00                     
Vardas202         Pavarde202        4.63                     
Vardas203         Pavarde203        3.74                     
Vardas204         Pavarde204        4.89                     
Vardas206         Pavarde206        3.91                     
Vardas207         Pavarde207        3.51                     
Vardas211         Pavarde211        2.14                     
Vardas213         Pavarde213        3.80                     
Vardas214         Pavarde214        3.11                     
Vardas215         Pavarde215        2.29                     
Vardas219         Pavarde219        3.34                     
Vardas220         Pavarde220        4.60                     
Vardas222         Pavarde222        4.71                     
Vardas223         Pavarde223        3.63                     
Vardas227         Pavarde227        3.03                     
Vardas234         Pavarde234        3.80                     
Vardas235         Pavarde235        4.89                     
Vardas238         Pavarde238        4.86                     
Vardas239         Pavarde239        4.29                     
Vardas242         Pavarde242        3.29                     
Vardas245         Pavarde245        3.46                     
Vardas246         Pavarde246        3.37                     
Vardas250         Pavarde250        3.71                     
Vardas251         Pavarde251        3.54                     
Vardas252         Pavarde252        2.77                     
Vardas254         Pavarde254        3.37                     
Vardas256         Pavarde256        4.37                     
Vardas261         Pavarde261        4.83                     
Vardas262         Pavarde262        3.06                     
Vardas263         Pavarde263        4.66                     
Vardas265         Pavarde265        4.51                     
Vardas266         Pavarde266        3.11                     
Vardas271         Pavarde271        3.80                     
Vardas273         Pavarde273        3.00                     
Vardas274         Pavarde274        2.91                     
Vardas275         Pavarde275        3.43                     
Vardas277         Pavarde277        3.43                     
Vardas279         Pavarde279        3.54                     
Vardas280         Pavarde280        3.66                     
Vardas286         Pavarde286        2.77                     
Vardas295         Pavarde295        4.54                     
Vardas302         Pavarde302        4.37                     
Vardas303         Pavarde303        4.46                     
Vardas306         Pavarde306        4.23                     
Vardas308         Pavarde308        4.09                     
Vardas311         Pavarde311        4.06                     
Vardas313         Pavarde313        3.97                     
Vardas320         Pavarde320        3.94                     
Vardas322         Pavarde322        3.37                     
Vardas327         Pavarde327        2.91                     
Vardas329         Pavarde329        3.49                     
Vardas332         Pavarde332        3.23                     
Vardas337         Pavarde337        3.60                     
Vardas339         Pavarde339        2.54                     
Vardas346         Pavarde346        3.40                     
Vardas349         Pavarde349        2.20                     
Vardas355         Pavarde355        4.37                     
Vardas363         Pavarde363        3.51                     
Vardas364         Pavarde364        4.14                     
Vardas365         Pavarde365        3.46                     
Vardas367         Pavarde367        3.06                     
Vardas369         Pavarde369        3.74                     
Vardas370         Pavarde370        3.17                     
Vardas372         Pavarde372        4.83                     
Vardas374         Pavarde374        4.17                     
Vardas376         Pavarde376        4.20                     
Vardas377         Pavarde377        4.23                     
Vardas378         Pavarde378        3.86                     
Vardas380         Pavarde380        3.51                     
Vardas381         Pavarde381        3.23                     
Vardas383         Pavarde383        2.80                     
Vardas384         Pavarde384        3.86                     
Vardas385         Pavarde385        3.34                     
Vardas389         Pavarde389        2.37                     
Vardas392         Pavarde392        2.20                     
Vardas397         Pavarde397        2.77                     
Vardas398         Pavarde398        4.09                     
Vardas399         Pavarde399        3.74                     
Vardas400         Pavarde400        3.06                     
Vardas404         Pavarde404        2.91                     
Vardas409         Pavarde409        4.69                     
Vardas411         Pavarde411        4.03                     
Vardas414         Pavarde414        4.57                     
Vardas417         Pavarde417        4.06                     
Vardas418         Pavarde418        3.17                     
Vardas422         Pavarde422        2.77                     
Vardas426         Pavarde426        3.17                     
Vardas428         Pavarde428        4.26                     
Vardas433         Pavarde433        3.43                     
Vardas434         Pavarde434        3.57                     
Vardas436         Pavarde436        3.17                     
Vardas437         Pavarde437        3.00                     
Vardas438         Pavarde438        4.89                     
Vardas439         Pavarde439        3.77                     
Vardas447         Pavarde447        4.40                     
Vardas448         Pavarde448        4.91                     
Vardas456         Pavarde456        2.37                     
Vardas458         Pavarde458        3.11                     
Vardas460         Pavarde460        4.60                     
Vardas465         Pavarde465        4.40                     
Vardas466         Pavarde466        3.34                     
Vardas467         Pavarde467        3.91                     
Vardas468         Pavarde468        2.31                     
Vardas471         Pavarde471        4.66                     
Vardas472         Pavarde472        3.43                     
Vardas473         Pavarde473        4.54                     
Vardas476         Pavarde476        4.23                     
Vardas477         Pavarde477        4.26                     
Vardas478         Pavarde478        4.11                     
Vardas480         Pavarde480        3.77                     
Vardas483         Pavarde483        2.83                     
Vardas484         Pavarde484        2.54                     
Vardas490         Pavarde490        3.63                     
Vardas491         Pavarde491        2.83                     
Vardas494         Pavarde494        2.71                     
Vardas495         Pavarde495        3.34                     
Vardas498         Pavarde498        4.03                     
Vardas499         Pavarde499        3.00                     
Vardas505         Pavarde505        2.60                     
Vardas507         Pavarde507        4.97                     
Vardas509         Pavarde509        4.17                     
Vardas513         Pavarde513        2.66                     
Vardas518         Pavarde518        4.20                     
Vardas519         Pavarde519        3.86                     
Vardas520         Pavarde520        3.06                     
Vardas526         Pavarde526        2.46                     
Vardas529         Pavarde529        3.69                     
Vardas532         Pavarde532        2.71                     
Vardas533         Pavarde533        3.91                     
Vardas543         Pavarde543        4.29                     
Vardas552         Pavarde552        4.69                     
Vardas554         Pavarde554        3.80                     
Vardas556         Pavarde556        4.29                     
Vardas557         Pavarde557        4.86                     
Vardas558         Pavarde558        3.00                     
Vardas560         Pavarde560        2.54                     
Vardas562         Pavarde562        2.54                     
Vardas565         Pavarde565        4.71                     
Vardas568         Pavarde568        4.77                     
Vardas571         Pavarde571        2.91                     
Vardas572         Pavarde572        3.69                     
Vardas573         Pavarde573        4.51                     
Vardas575         Pavarde575        2.86                     
Vardas576         Pavarde576        4.77                     
Vardas577         Pavarde577        3.74                     
Vardas578         Pavarde578        2.63                     
Vardas579         Pavarde579        4.23                     
Vardas580         Pavarde580        4.89                     
Vardas584         Pavarde584        4.03                     
Vardas586         Pavarde586        4.40                     
Vardas589         Pavarde589        4.97                     
Vardas590         Pavarde590        2.91                     
Vardas592         Pavarde592        3.77                     
Vardas593         Pavarde593        3.31                     
Vardas594         Pavarde594        3.49                     
Vardas595         Pavarde595        2.89                     
Vardas596         Pavarde596        3.69                     
Vardas598         Pavarde598        3.03                     
Vardas600         Pavarde600        4.80                     
Vardas602         Pavarde602        3.43                     
Vardas609         Pavarde609        4.26                     
Vardas612         Pavarde612        3.00                     
Vardas616         Pavarde616        3.23                     
Vardas617         Pavarde617        4.83                     
Vardas618         Pavarde618        4.49                     
Vardas619         Pavarde619        3.23                     
Vardas620         Pavarde620        2.91                     
Vardas621         Pavarde621        3.71                     
Vardas624         Pavarde624        3.60                     
Vardas629         Pavarde629        3.77                     
Vardas633         Pavarde633        2.71                     
Vardas634         Pavarde634        3.97                     
Vardas635         Pavarde635        4.40                     
Vardas637         Pavarde637        3.26                     
Vardas638         Pavarde638        4.46                     
Vardas641         Pavarde641        3.43                     
Vardas644         Pavarde644        2.43                     
Vardas645         Pavarde645        2.54                     
Vardas646         Pavarde646        3.17                     
Vardas649         Pavarde649        2.91                     
Vardas651         Pavarde651        4.57                     
Vardas653         Pavarde653        2.71                     
Vardas659         Pavarde659        3.06                     
Vardas660         Pavarde660        3.17                     
Vardas672         Pavarde672        3.37                     
Vardas673         Pavarde673        3.40                     
Vardas676         Pavarde676        2.43                     
Vardas679         Pavarde679        3.17                     
Vardas682         Pavarde682        3.26                     
Vardas686         Pavarde686        3.31                     
Vardas687         Pavarde687        3.43                     
Vardas690         Pavarde690        4.49                     
Vardas691         Pavarde691        4.94                     
Vardas695         Pavarde695        3.26                     
Vardas698         Pavarde698        4.03                     
Vardas699         Pavarde699        2.03                     
Vardas700         Pavarde700        3.80                     
Vardas702         Pavarde702        4.60                     
Vardas703         Pavarde703        4.60                     
